Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,3,11,6412080,5.304693,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
6.616811,2.789433,3.827378,0.138777
6.567783,2.861379,3.706405,0.147386
6.559877,2.842331,3.717546,0.154593
6.468278,2.773579,3.694699,0.150316
6.552959,2.893407,3.659552,0.116192
6.490712,2.747898,3.742813,0.123828
6.594429,2.985823,3.608605,0.140905
6.554730,2.885115,3.669615,0.114533
6.997956,2.810186,4.187770,0.148124
6.984157,3.137376,3.846781,0.145697
7.052950,3.160120,3.892830,0.186705
