Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,21,11,28980384,2.007426,
Offline Times, Online Times
0.050805,0.003116
0.047984,0.002712
0.043718,0.002652
0.044366,0.002328
0.043195,0.002330
0.042899,0.002290
0.040605,0.002700
0.046076,0.003047
0.043052,0.002229
0.043425,0.003227
0.045283,0.005656
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,21,11,25921904,1.968957,
Offline Times, Online Times
0.048368,0.003545
0.042548,0.003145
0.044238,0.002296
0.042287,0.002652
0.043766,0.002697
0.043327,0.002684
0.043513,0.002816
0.037833,0.002445
0.044989,0.002782
0.043658,0.002537
0.041734,0.006041
